,down,yard,position,percent_run,aggression,epa
106,1.0,5.0,30.0,0.75,1.0,1.74
107,1.0,5.0,30.0,0.75,2.0,2.33
108,1.0,5.0,40.0,0.25,0.0,2.67
109,1.0,5.0,40.0,0.25,1.0,3.06
110,1.0,5.0,40.0,0.25,2.0,2.57
111,1.0,5.0,40.0,0.5,0.0,2.43
112,1.0,5.0,40.0,0.5,1.0,2.07
113,1.0,5.0,40.0,0.5,2.0,2.28
114,1.0,5.0,40.0,0.75,0.0,0.83
115,1.0,5.0,40.0,0.75,1.0,2.99
116,1.0,5.0,40.0,0.75,2.0,1.07
117,1.0,5.0,50.0,0.25,0.0,2.49
118,1.0,5.0,50.0,0.25,1.0,2.81
119,1.0,5.0,50.0,0.25,2.0,1.91
120,1.0,5.0,50.0,0.5,0.0,2.5
121,1.0,5.0,50.0,0.5,1.0,2.92
122,1.0,5.0,50.0,0.5,2.0,3.36
123,1.0,5.0,50.0,0.75,0.0,3.2
124,1.0,5.0,50.0,0.75,1.0,3.05
125,1.0,5.0,50.0,0.75,2.0,3.26
126,1.0,5.0,60.0,0.25,0.0,4.49
127,1.0,5.0,60.0,0.25,1.0,4.32
128,1.0,5.0,60.0,0.25,2.0,2.98
129,1.0,5.0,60.0,0.5,0.0,4.09
130,1.0,5.0,60.0,0.5,1.0,3.76
131,1.0,5.0,60.0,0.5,2.0,4.1
132,1.0,5.0,60.0,0.75,0.0,3.44
133,1.0,5.0,60.0,0.75,1.0,4.09
134,1.0,5.0,60.0,0.75,2.0,3.82
135,1.0,5.0,70.0,0.25,0.0,4.24
136,1.0,5.0,70.0,0.25,1.0,4.52
137,1.0,5.0,70.0,0.25,2.0,3.31
138,1.0,5.0,70.0,0.5,0.0,4.7
139,1.0,5.0,70.0,0.5,1.0,4.04
140,1.0,5.0,70.0,0.5,2.0,4.62
141,1.0,5.0,70.0,0.75,0.0,4.24
142,1.0,5.0,70.0,0.75,1.0,3.96
143,1.0,5.0,70.0,0.75,2.0,4.1
144,1.0,5.0,80.0,0.25,0.0,4.92
145,1.0,5.0,80.0,0.25,1.0,5.43
146,1.0,5.0,80.0,0.25,2.0,4.52
147,1.0,5.0,80.0,0.5,0.0,5.72
148,1.0,5.0,80.0,0.5,1.0,5.3
149,1.0,5.0,80.0,0.5,2.0,5.36
150,1.0,5.0,80.0,0.75,0.0,5.39
151,1.0,5.0,80.0,0.75,1.0,5.53
152,1.0,5.0,80.0,0.75,2.0,5.22
153,1.0,5.0,90.0,0.25,0.0,5.88
154,1.0,5.0,90.0,0.25,1.0,6.64
155,1.0,5.0,90.0,0.25,2.0,5.09
156,1.0,5.0,90.0,0.5,0.0,5.76
157,1.0,5.0,90.0,0.5,1.0,5.92
158,1.0,5.0,90.0,0.5,2.0,4.8
159,1.0,5.0,90.0,0.75,0.0,5.96
